Table A. EPMA and QEMSCAN results in wt% for selected sphalerite grains,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Analysis No.,Sample,ParticleID,Raw EPMA data,,,,,,,Normalized EPMA data,,,,,Raw QEMSCAN data,,,,Normalized QEMSCAN data,,
,,,Fe,Zn,Cu,S,Cd,Mn,Total,Fe,Zn,S,Cd,Mn,S,Mn,Fe,Zn,Mn,Fe,Zn
100,Zn-CTails2,7956a ,7.4,58.5,0,32.7,0.2,1,99.9,7.4,58.6,32.7,0.2,1,36.5,1,7.7,67.2,0.9,6.7,59.1
101,Zn-CTails2,7948,3.9,63,0,32.7,0.2,0.4,100.3,3.9,62.9,32.6,0.2,0.4,35,0.5,4.4,70,0.4,4,62.4
102,Zn-CTails2,7974,5.4,61,0,32.7,0.2,0.6,99.9,5.4,61.1,32.8,0.2,0.6,35.4,0.7,5.7,68.4,0.6,5.1,61.1
103,Zn-CTails2,7956c ,3.8,63.1,0,32.7,0.3,0.3,100.3,3.8,62.9,32.7,0.3,0.3,35.2,0.5,4.1,70.3,0.4,3.7,62.7
104,Zn-CTails2,7956b ,3.8,62.5,0,32.8,0.3,0.3,99.7,3.9,62.7,32.9,0.3,0.3,35.4,0.5,4.1,69.7,0.5,3.7,62.6
105,Zn-CTails2,7924,3.9,62.7,0,32.8,0.2,0.4,100,3.9,62.7,32.8,0.2,0.4,36,0.6,4.1,68.9,0.5,3.7,62.6
106,Zn-CTails2,7954c ,4.5,62.4,0,32.8,0.2,0.4,100.3,4.5,62.2,32.7,0.2,0.4,35.6,0.5,4.9,69.9,0.4,4.3,62.1
107,Zn-CTails2,7950,3.9,62.8,0,32.8,0.2,0.6,100.3,3.9,62.6,32.7,0.2,0.6,35,0.7,4.3,69.5,0.6,3.9,62.3
108,Zn-CTails2,7935,5.7,61.5,0,32.9,0.2,0.4,100.6,5.6,61.1,32.7,0.2,0.4,35.6,0.6,6,68.4,0.5,5.4,60.9
109,Zn-CTails2,7921,4.5,61.3,0,32.9,0.2,1,99.9,4.5,61.4,32.9,0.2,1,35.8,1.1,4.9,68.4,1,4.4,61.4
110,Zn-CTails2,7943,5.7,60.1,0,32.9,0.2,0.4,99.4,5.7,60.5,33.1,0.2,0.4,35.5,0.4,6.3,68.5,0.4,5.6,60.8
111,Zn-CTails2,7955a ,7.3,58.5,0,33,0.2,1,99.9,7.3,58.5,33,0.2,1,37.2,1,7.7,66.2,0.9,6.9,59
112,Zn-CTails2,7954b ,4.8,62,0,33,0.2,0.3,100.3,4.8,61.8,32.9,0.2,0.3,35.6,0.5,5.3,69.6,0.5,4.7,61.6
113,Zn-CTails2,7966,4.6,62.3,0,33,0.2,0.3,100.5,4.6,62,32.9,0.2,0.3,35.3,0.5,4.9,70.3,0.5,4.3,62
114,Zn-CTails2,7991,5.7,60.3,0,33.1,0.3,0.8,100.2,5.7,60.3,33.1,0.3,0.8,36.6,0.8,6.1,67.4,0.8,5.5,60.5
115,Zn-CTails2,7914a ,6.5,59.2,0,33.1,0.2,1.1,100.1,6.5,59.1,33.1,0.2,1.1,35.6,1.2,6.9,65.2,1.1,6.3,59.4
116,Zn-CTails2,7914b ,7.9,56.9,0,33.2,0.2,1.8,99.9,7.9,56.9,33.2,0.2,1.8,36.8,2.1,8.6,64.3,1.8,7.7,57.3
117,Zn-CTails2,7958,5,61.8,0,33.3,0.3,0.3,100.6,5,61.4,33.1,0.3,0.3,35.3,0.5,5.4,69.5,0.4,4.8,61.6
118,Zn-CTails2,7954a ,6.2,60,0,33.3,0.3,1.1,100.8,6.1,59.5,33.1,0.3,1,36.8,1.2,6.6,67.3,1,5.9,59.9
119,Zn-CTails2,7955b ,7,58.9,0,33.4,0.2,0.9,100.3,6.9,58.7,33.3,0.2,0.9,36.6,1,7.8,67.2,0.9,6.9,59
120,Zn-CTails2,8008,3.9,62.2,0,32.5,0.2,0.5,99.3,4,62.7,32.7,0.2,0.5,34.8,0.6,4.3,70.9,0.5,3.8,62.5
121,Zn-CTails2,8034b ,5.4,60,0,32.5,0.3,0.7,99,5.4,60.6,32.9,0.3,0.8,35.2,0.7,5.4,64.9,0.7,5.1,61
122,Zn-CTails2,7996b ,4.1,62.7,0,32.6,0.3,0.4,100,4.1,62.7,32.6,0.3,0.4,34.9,0.5,4.5,69.6,0.5,4.1,62.3
123,Zn-CTails2,7996a ,3.7,62.6,0,32.6,0.2,0.7,99.8,3.7,62.8,32.6,0.2,0.7,34.9,0.9,4.1,71.3,0.8,3.6,62.4
124,Zn-CTails2,8034a ,3.6,62.7,0,32.6,0.3,0.3,99.5,3.6,63,32.8,0.3,0.3,35,0.5,3.8,72.6,0.4,3.3,63.1
125,Zn-CTails2,8031,5.1,61.6,0,32.7,0.3,0.2,99.9,5.1,61.7,32.7,0.3,0.2,35.7,0.4,5.5,71.4,0.3,4.8,61.7
126,Zn-CTails2,8030a ,7.1,58.1,0,32.7,0.2,0.8,98.9,7.2,58.7,33.1,0.2,0.8,37,1,7.7,67.1,0.8,6.8,59.1
127,Zn-CTails2,8028,3.6,63.2,0,32.7,0.2,0.4,100.1,3.6,63.1,32.7,0.2,0.4,34.9,0.5,4,71.1,0.4,3.5,62.9
128,Zn-CTails2,8029,2.6,63.8,0,32.8,0.3,0.5,100,2.6,63.8,32.8,0.3,0.5,35.8,0.7,2.9,72.1,0.6,2.6,63.7
129,Zn-CTails2,8025c ,5.7,60.7,0,32.9,0.2,0.4,99.9,5.7,60.8,32.9,0.2,0.4,35.9,0.5,6.4,70,0.5,5.5,60.8
130,Zn-CTails2,8025a ,3.9,62.8,0,32.9,0.2,0.5,100.3,3.9,62.6,32.8,0.2,0.5,34.9,0.7,4.1,71.5,0.6,3.6,62.6
131,Zn-CTails2,8020,5.2,61.6,0,33,0.2,0.3,100.3,5.2,61.4,32.9,0.2,0.3,35.5,0.5,5.7,71.1,0.4,4.9,61.5
132,Zn-CTails2,8030b ,4.4,61.1,0,33,0.2,1.6,100.3,4.4,60.9,32.9,0.2,1.6,36.2,1.8,4.7,70.1,1.6,4.1,61.1
133,Zn-CTails2,8026,5.2,61.2,0,33,0.2,0.3,100,5.2,61.2,33,0.2,0.3,35.7,0.3,5.7,69.9,0.3,5,61.5
134,Zn-CTails2,8000b ,4.4,62,0,33,0.2,0.4,100,4.4,62,33,0.2,0.4,35.7,0.5,4.8,69.6,0.4,4.3,62.1
135,Zn-CTails2,8005,7.2,58.7,0,33,0.2,1,100.1,7.2,58.6,33,0.2,1,37.1,1.1,7.5,67.6,1,6.6,59.3
136,Zn-CTails2,8027,6.2,58.6,0,33,0.2,1.4,99.4,6.2,59,33.2,0.2,1.4,36.8,1.5,6.7,68.7,1.3,5.8,59.7
137,Zn-CTails2,8000e ,3.9,62.8,0,33,0.2,0.5,100.5,3.9,62.5,32.9,0.2,0.5,35.2,0.7,4.1,71.5,0.6,3.6,62.6
138,Zn-CTails2,8009,4.1,62.9,0,33.1,0.2,0.5,100.8,4,62.4,32.8,0.2,0.5,35,0.6,4.2,70.2,0.5,3.8,62.5
139,Zn-CTails2,8000d ,3.9,63.2,0,33.1,0.3,0.3,100.8,3.8,62.7,32.9,0.3,0.3,35.4,0.5,4,72.4,0.4,3.5,62.8
140,Zn-CTails2,8025b ,6.5,59,0,33.1,0.4,1.2,100.2,6.5,58.9,33.1,0.4,1.2,36.2,1.3,7,69.1,1.2,6.1,59.6
